Compartment,Antimicrobial,Amount,Units,Geolocation,Country,Year,Source
Tissue,Oxytetracycline,231±0.08,ppb,Hamadan Province, Iran,2016,1
Tissue,Oxytetracycline,224±0.07,ppb,Hamadan Province, Iran,2016,1
Tissue,Oxytetracycline,256±0.05,ppb,Hamadan Province, Iran,2016,1
Tissue,Oxytetracycline,212±0.034,ppb,Hamadan Province, Iran,2016,1
Tissue,Oxytetracycline,234±0.075,ppb,Hamadan Province, Iran,2016,1
Tissue,Oxytetracycline,226±0.032,ppb,Hamadan Province, Iran,2016,1
Tissue,Oxytetracycline,196±0.065,ppb,Hamadan Province, Iran,2016,1
Tissue,Oxytetracycline,183±0.021,ppb,Hamadan Province, Iran,2016,1
Tissue,Oxytetracycline,192±0.031,ppb,Hamadan Province, Iran,2016,1
Tissue,Oxytetracycline,175±0.021,ppb,Hamadan Province, Iran,2016,1
Tissue,Oxytetracycline,189±0.010,ppb,Hamadan Province, Iran,2016,1
Tissue,Oxytetracycline,194±0.031,ppb,Hamadan Province, Iran,2016,1
Tissue,Oxytetracycline,265±0.015,ppb,Hamadan Province, Iran,2016,1
Tissue,Oxytetracycline,247±0.021,ppb,Hamadan Province, Iran,2016,1
Tissue,Oxytetracycline,258±0.011,ppb,Hamadan Province, Iran,2016,1
Tissue,Oxytetracycline,231±0.09,ppb,Hamadan Province, Iran,2016,1
Tissue,Oxytetracycline,227±0.066,ppb,Hamadan Province, Iran,2016,1
Tissue,Oxytetracycline,218±0.050,ppb,Hamadan Province, Iran,2016,1
Tissue,Oxytetracycline,241±0.044,ppb,Hamadan Province, Iran,2016,1
Tissue,Oxytetracycline,235±0.005,ppb,Hamadan Province, Iran,2016,1
Tissue,Oxytetracycline,224±0.002,ppb,Hamadan Province, Iran,2016,1
Tissue,Oxytetracycline,267±0.016,ppb,Hamadan Province, Iran,2016,1
Tissue,Oxytetracycline,252±0.014,ppb,Hamadan Province, Iran,2016,1
Tissue,Oxytetracycline,249±0.002,ppb,Hamadan Province, Iran,2016,1
Tissue,Oxytetracycline,232±0.012,ppb,Hamadan Province, Iran,2016,1
Tissue,Oxytetracycline,241±0.022,ppb,Hamadan Province, Iran,2016,1
Tissue,Oxytetracycline,223±0.001,ppb,Hamadan Province, Iran,2016,1
Tissue,Oxytetracycline,265±0.013,ppb,Hamadan Province, Iran,2016,1
Tissue,Oxytetracycline,274±0.001,ppb,Hamadan Province, Iran,2016,1
Tissue,Oxytetracycline,248±0.014,ppb,Hamadan Province, Iran,2016,1
Tissue,Oxytetracycline,233±0.010,ppb,Hamadan Province, Iran,2016,1
Tissue,Oxytetracycline,241±0.070,ppb,Hamadan Province, Iran,2016,1
Tissue,Oxytetracycline,257±0.107,ppb,Hamadan Province, Iran,2016,1
Tissue,Oxytetracycline,287±0.032,ppb,Hamadan Province, Iran,2016,1
Tissue,Oxytetracycline,276±0.064,ppb,Hamadan Province, Iran,2016,1
Tissue,Oxytetracycline,295±0.062,ppb,Hamadan Province, Iran,2016,1
Tissue,Oxytetracycline,237±0.054,ppb,Hamadan Province, Iran,2016,1
Tissue,Oxytetracycline,241±0.027,ppb,Hamadan Province, Iran,2016,1
